"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia pycnantha"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia pycnantha"
11015,"Flinders Ranges",138.607143,-31.357143,"Mediterranean Forests, Woodlands & Scrub",17.93839,269.65486,"Acacia pycnantha"
11016,"Eastern",140.068073,-31.591219,"Deserts & Xeric Shrublands",18.90547,199.10526,"Acacia pycnantha"
11017,"Eyre Peninsula",135.505331,-32.758355,"Mediterranean Forests, Woodlands & Scrub",17.36463,306.37932,"Acacia pycnantha"
11018,"Northern Lofty",138.519164,-33.723585,"Mediterranean Forests, Woodlands & Scrub",15.87515,447.64207,"Acacia pycnantha"
11019,"Murray",139.99765,-34.233163,"Mediterranean Forests, Woodlands & Scrub",16.75733,304.26455,"Acacia pycnantha"
11020,"Yorke Peninsula",137.632173,-34.435824,"Mediterranean Forests, Woodlands & Scrub",16.7841,408.10266,"Acacia pycnantha"
11021,"Southern Lofty",138.676999,-35.069078,"Mediterranean Forests, Woodlands & Scrub",15.374,653.93038,"Acacia pycnantha"
11022,"South Eastern",140.320122,-36.563465,"Mediterranean Forests, Woodlands & Scrub",14.95048,556.29521,"Acacia pycnantha"
11111,"Distrito Federal, Mexico",-99.087942,19.238319,"Tropical & Subtropical Coniferous Forests",14.48912,909.61716,"Acacia pycnantha"
11113,"Estado de México, Mexico",-101.037028,20.898078,"Tropical & Subtropical Dry Broadleaf Forests",17.63001,594.30522,"Acacia pycnantha"
11425,"Southern Tablelands, Australia",149.059464,-35.72627,"Temperate Broadleaf & Mixed Forests",11.30218,862.96786,"Acacia pycnantha"
11427,"Central Western Slopes, Australia",148.611328,-33.025855,"Temperate Broadleaf & Mixed Forests",16.25113,628.43663,"Acacia pycnantha"
11428,"South Western Slopes, Australia",147.31108,-35.257354,"Temperate Broadleaf & Mixed Forests",15.16626,645.35877,"Acacia pycnantha"
11430,"South Western Plains, Australia",145.360255,-33.837946,"Temperate Grasslands, Savannas & Shrublands",17.34454,385.91011,"Acacia pycnantha"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia pycnantha"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia pycnantha"
12169,"Eastern Desert, Australia",140.941624,-28.216153,"Deserts & Xeric Shrublands",20.77307,305.40488,"Acacia pycnantha"
12171,"Eyre Peninsula, Australia",136.097199,-32.641152,"Deserts & Xeric Shrublands",17.56855,295.47165,"Acacia pycnantha"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia pycnantha"
12177,"Southwest Interzone, Australia",120.779061,-32.046651,"Mediterranean Forests, Woodlands & Scrub",17.16297,332.47299,"Acacia pycnantha"
12178,"Southwestern Australia",117.012649,-31.854698,"Mediterranean Forests, Woodlands & Scrub",17.49456,486.88343,"Acacia pycnantha"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia pycnantha"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia retinodes"
10064,"Grampians National Park, Australia",142.409763,-37.254378,"Temperate Broadleaf & Mixed Forests",12.41415,766.80453,"Acacia retinodes"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia retinodes"
10658,"Djibouti",42.577946,11.749822,"Deserts & Xeric Shrublands",28.44987,169.41822,"Acacia retinodes"
10668,"Eritrea",38.85291,15.358841,"Tropical & Subtropical Grasslands, Savannas & Shrublands",26.36717,362.33942,"Acacia retinodes"
11018,"Northern Lofty",138.519164,-33.723585,"Mediterranean Forests, Woodlands & Scrub",15.87515,447.64207,"Acacia retinodes"
11019,"Murray",139.99765,-34.233163,"Mediterranean Forests, Woodlands & Scrub",16.75733,304.26455,"Acacia retinodes"
